"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 28, 2018","9,377.2","9,172.2","9,550.0","9,125.3","10.45K","2.07%"
"Jan 27, 2018","9,187.1","8,960.1","9,333.2","8,719.7","10.73K","2.25%"
"Jan 26, 2018","8,984.6","9,005.7","9,358.0","8,400.0","15.34K","-0.25%"
"Jan 25, 2018","9,007.1","9,225.0","9,456.9","8,850.0","8.78K","-2.47%"
"Jan 24, 2018","9,235.1","8,827.0","9,350.0","8,510.1","10.37K","4.54%"
"Jan 23, 2018","8,833.7","8,869.9","9,356.2","8,170.0","13.80K","-0.30%"
"Jan 22, 2018","8,860.0","9,540.2","9,915.9","8,200.9","0.00K","-7.02%"
"Jan 21, 2018","9,529.2","10,511.9","10,521.0","9,201.2","12.20K","-9.35%"
"Jan 20, 2018","10,511.9","9,569.2","10,734.6","9,537.8","9.78K","9.80%"
"Jan 19, 2018","9,574.0","9,360.0","9,998.9","9,134.0","9.76K","2.29%"
"Jan 18, 2018","9,360.1","9,210.1","10,113.6","8,920.1","16.21K","1.48%"
"Jan 17, 2018","9,223.8","9,370.0","9,749.8","7,506.1","22.51K","-1.56%"
"Jan 16, 2018","9,370.0","11,164.1","11,267.4","8,250.0","21.95K","-15.96%"
"Jan 15, 2018","11,150.0","11,297.9","11,930.9","11,068.0","6.43K","-1.31%"
"Jan 14, 2018","11,297.9","11,768.0","11,861.0","10,892.0","5.18K","-3.99%"
"Jan 13, 2018","11,767.9","11,909.7","12,139.0","11,700.0","2.36K","3.17%"
"Jan 12, 2018","11,767.9","11,909.7","12,139.0","11,700.0","2.36K","3.17%"
"Jan 11, 2018","11,406.1","12,345.1","12,420.0","11,012.3","1.74K","-8.01%"
"Jan 10, 2018","12,399.0","12,072.9","12,400.0","11,200.0","7.14K","2.70%"
"Jan 09, 2018","12,072.9","12,648.7","12,768.6","11,961.8","5.72K","-4.55%"
"Jan 08, 2018","12,648.7","13,237.2","13,287.3","12,000.0","5.89K","-4.45%"
"Jan 07, 2018","13,237.2","14,184.0","14,199.7","13,039.8","3.92K","-6.68%"
"Jan 06, 2018","14,184.0","14,297.6","14,333.8","13,501.0","4.16K","-0.79%"
"Jan 05, 2018","14,297.6","12,750.4","14,480.0","12,412.1","6.06K","12.13%"
"Jan 04, 2018","12,750.4","12,660.0","12,819.2","12,000.0","4.44K","0.71%"
"Jan 03, 2018","12,660.0","12,299.8","12,887.0","12,290.0","3.53K","2.93%"
"Jan 02, 2018","12,299.8","11,350.0","12,746.0","10,905.0","5.16K","8.37%"
"Jan 01, 2018","11,350.0","11,993.6","11,995.2","11,090.0","3.68K","-5.37%"
"Dec 31, 2017","11,993.6","10,654.4","12,180.0","10,520.6","5.10K","12.57%"
"Dec 30, 2017","10,654.4","12,258.8","12,311.6","10,438.2","8.54K","-13.09%"
"Dec 29, 2017","12,258.8","12,290.0","12,689.6","11,989.0","4.59K","-0.25%"
"Dec 28, 2017","12,290.0","13,010.0","13,100.0","11,721.8","7.09K","-5.53%"
"Dec 27, 2017","13,010.0","13,161.9","13,596.0","12,276.0","6.21K","-1.15%"
"Dec 26, 2017","13,161.9","11,685.8","13,490.0","11,527.0","5.76K","12.63%"
"Dec 25, 2017","11,685.8","11,775.0","12,298.0","11,184.8","4.37K","-0.76%"
"Dec 24, 2017","11,775.0","12,339.0","12,405.7","10,500.0","6.43K","-4.57%"
"Dec 23, 2017","12,339.0","11,615.9","13,173.9","11,450.0","6.39K","6.23%"
"Dec 22, 2017","11,615.9","12,587.5","12,829.2","8,926.0","10.19K","-7.72%"
"Dec 21, 2017","12,587.5","13,898.5","14,554.9","11,100.0","6.95K","-9.43%"
"Dec 20, 2017","13,898.5","14,994.2","15,284.0","13,329.0","8.97K","-7.31%"
"Dec 19, 2017","14,994.2","15,767.2","15,800.1","14,466.0","7.49K","-4.90%"
"Dec 18, 2017","15,767.2","15,601.0","15,866.0","14,980.0","5.08K","1.07%"
"Dec 17, 2017","15,601.0","16,135.6","16,323.0","15,284.0","4.69K","-3.31%"
"Dec 16, 2017","16,135.6","14,660.0","16,310.4","14,503.1","4.81K","10.07%"
"Dec 15, 2017","14,660.0","13,661.5","14,977.0","13,615.0","4.73K","7.31%"
"Dec 14, 2017","13,661.5","13,250.1","13,750.0","13,000.0","3.66K","3.10%"
"Dec 13, 2017","13,250.1","13,770.0","14,050.0","13,090.0","3.78K","-3.78%"
"Dec 12, 2017","13,770.0","13,651.5","14,250.1","13,161.5","4.96K","0.87%"
"Dec 11, 2017","13,651.5","12,300.0","14,372.7","12,300.0","6.63K","10.99%"
"Dec 10, 2017","12,300.0","12,215.4","12,974.0","10,775.0","7.98K","0.69%"
"Dec 09, 2017","12,215.4","13,297.9","13,400.0","10,950.0","6.07K","-8.14%"
"Dec 08, 2017","13,297.9","13,760.1","14,238.8","11,901.3","9.24K","-3.36%"
"Dec 07, 2017","13,760.1","11,450.0","13,779.0","11,260.0","10.32K","20.18%"
"Dec 06, 2017","11,450.0","9,900.3","11,748.8","9,201.2","10.07K","15.65%"
"Dec 05, 2017","9,900.3","9,675.0","9,990.0","9,201.9","5.48K","2.33%"
"Dec 04, 2017","9,675.0","9,311.0","9,677.0","9,202.3","6.01K","3.91%"
"Dec 03, 2017","9,311.0","9,175.3","9,687.7","8,955.0","6.79K","1.48%"
"Dec 02, 2017","9,175.3","9,149.5","9,375.0","8,922.3","4.71K","0.28%"
"Dec 01, 2017","9,149.5","8,462.0","9,225.0","8,100.0","8.65K","8.12%"
"Nov 30, 2017","8,462.0","8,383.1","9,063.7","7,710.9","12.58K","0.94%"
"Nov 29, 2017","8,383.1","8,309.1","9,494.0","7,766.7","16.18K","0.89%"
"Nov 28, 2017","8,309.1","8,074.5","8,397.0","8,011.0","6.76K","2.91%"
"Nov 27, 2017","8,074.5","7,594.0","8,084.8","7,571.4","7.65K","6.33%"
"Nov 26, 2017","7,594.0","7,240.0","7,755.8","7,240.0","5.72K","4.89%"
"Nov 25, 2017","7,240.0","6,899.3","7,248.5","6,838.6","4.96K","4.94%"
"Nov 24, 2017","6,899.3","6,775.0","7,030.0","6,670.0","5.80K","1.83%"
"Nov 23, 2017","6,775.0","6,977.5","7,011.0","6,770.0","4.82K","-2.90%"
"Nov 22, 2017","6,977.5","6,890.8","7,085.0","6,890.0","3.96K","1.26%"
"Nov 21, 2017","6,890.8","6,944.8","7,115.0","6,710.0","7.89K","-0.78%"
"Nov 20, 2017","6,944.8","6,772.2","6,990.0","6,710.0","5.55K","2.55%"
"Nov 19, 2017","6,772.2","6,579.8","6,799.0","6,450.0","5.36K","2.92%"
"Nov 18, 2017","6,579.8","6,551.0","6,644.9","6,320.2","4.53K","0.44%"
"Nov 17, 2017","6,551.0","6,642.0","6,799.0","6,475.0","9.43K","-1.37%"
"Nov 16, 2017","6,642.0","6,214.9","6,700.0","6,100.0","9.04K","6.87%"
"Nov 15, 2017","6,214.9","5,682.0","6,240.0","5,680.1","10.32K","9.38%"
